image,LandTrav_trials.thisRepN,LandTrav_trials.thisTrialN,LandTrav_trials.thisN,LandTrav_trials.thisIndex,text.started,text_2.started,button.started,button.numClicks,button.timesOn,button.timesOff,Landmark.started,text_4.started,nobutton.started,yesbutton.started,nobutton.numClicks,nobutton.timesOn,nobutton.timesOff,yesbutton.numClicks,yesbutton.timesOn,yesbutton.timesOff,text_3.started,participant,session,date,expName,psychopyVersion,frameRate,
TravImages/Landmark1_book.jpeg,0,0,0,0,8.331525399989914,11.340388999960851,11.340388999960851,1,[3.302529999986291],[3.302534000016749],15.087270199961495,15.087270199961495,15.087270199961495,15.087270199961495,1,[1.8292787999962457],[1.8292822999646887],0,,,,312366,001,2023-02-27_16h07.03.659,SEAL_LandTrav,2022.2.5,60.01104203896639,
TravImages/Landmark2_painting.jpeg,0,1,1,1,,,,,,,17.322107999993023,17.322107999993023,17.322107999993023,17.322107999993023,2,"[1.8292787999962457, 0.8937174000311643]","[1.8292822999646887, 0.8937210000003688]",0,,,,312366,001,2023-02-27_16h07.03.659,SEAL_LandTrav,2022.2.5,60.01104203896639,
TravImages/Landmark3_WaterFountain.jpeg,0,2,2,2,,,,,,,18.373765799973626,18.373765799973626,18.373765799973626,18.373765799973626,2,"[1.8292787999962457, 0.8937174000311643]","[1.8292822999646887, 0.8937210000003688]",1,[0.9297655000118539],[0.9297681999742053],,312366,001,2023-02-27_16h07.03.659,SEAL_LandTrav,2022.2.5,60.01104203896639,
TravImages/Landmark4_vase.jpeg,0,3,3,3,,,,,,,19.592134699982125,19.592134699982125,19.592134699982125,19.592134699982125,2,"[1.8292787999962457, 0.8937174000311643]","[1.8292822999646887, 0.8937210000003688]",2,"[0.9297655000118539, 0.6905560999875888]","[0.9297681999742053, 0.6905590000096709]",,312366,001,2023-02-27_16h07.03.659,SEAL_LandTrav,2022.2.5,60.01104203896639,
TravImages/Landmark5_painting.jpeg,0,4,4,4,,,,,,,20.58289269998204,20.58289269998204,20.58289269998204,20.58289269998204,2,"[1.8292787999962457, 0.8937174000311643]","[1.8292822999646887, 0.8937210000003688]",3,"[0.9297655000118539, 0.6905560999875888, 0.7796385000110604]","[0.9297681999742053, 0.6905590000096709, 0.7796425999840721]",,312366,001,2023-02-27_16h07.03.659,SEAL_LandTrav,2022.2.5,60.01104203896639,
TravImages/Landmark6_map.jpeg,0,5,5,5,,,,,,,21.798471799993422,21.798471799993422,21.798471799993422,21.798471799993422,2,"[1.8292787999962457, 0.8937174000311643]","[1.8292822999646887, 0.8937210000003688]",4,"[0.9297655000118539, 0.6905560999875888, 0.7796385000110604, 0.7827355000190437]","[0.9297681999742053, 0.6905590000096709, 0.7796425999840721, 0.7827379999798723]",,312366,001,2023-02-27_16h07.03.659,SEAL_LandTrav,2022.2.5,60.01104203896639,
TravImages/Landmark7_painting.jpeg,0,6,6,6,,,,,,,22.88253830000758,22.88253830000758,22.88253830000758,22.88253830000758,2,"[1.8292787999962457, 0.8937174000311643]","[1.8292822999646887, 0.8937210000003688]",5,"[0.9297655000118539, 0.6905560999875888, 0.7796385000110604, 0.7827355000190437, 0.5590416999766603]","[0.9297681999742053, 0.6905590000096709, 0.7796425999840721, 0.7827379999798723, 0.5590455000055954]",,312366,001,2023-02-27_16h07.03.659,SEAL_LandTrav,2022.2.5,60.01104203896639,
TravImages/Landmark8_painting.jpeg,0,7,7,7,,,,,,,23.720536799984984,23.720536799984984,23.720536799984984,23.720536799984984,2,"[1.8292787999962457, 0.8937174000311643]","[1.8292822999646887, 0.8937210000003688]",6,"[0.9297655000118539, 0.6905560999875888, 0.7796385000110604, 0.7827355000190437, 0.5590416999766603, 0.4856832000077702]","[0.9297681999742053, 0.6905590000096709, 0.7796425999840721, 0.7827379999798723, 0.5590455000055954, 0.48568590002832934]",,312366,001,2023-02-27_16h07.03.659,SEAL_LandTrav,2022.2.5,60.01104203896639,
TravImages/Landmark9_painting.jpeg,0,8,8,8,,,,,,,24.459212499961723,24.459212499961723,24.459212499961723,24.459212499961723,2,"[1.8292787999962457, 0.8937174000311643]","[1.8292822999646887, 0.8937210000003688]",7,"[0.9297655000118539, 0.6905560999875888, 0.7796385000110604, 0.7827355000190437, 0.5590416999766603, 0.4856832000077702, 0.5011256000143476]","[0.9297681999742053, 0.6905590000096709, 0.7796425999840721, 0.7827379999798723, 0.5590455000055954, 0.48568590002832934, 0.5011292000417598]",,312366,001,2023-02-27_16h07.03.659,SEAL_LandTrav,2022.2.5,60.01104203896639,
TravImages/Landmark10_statue.jpeg,0,9,9,9,,,,,,,25.372144599969033,25.372144599969033,25.372144599969033,25.372144599969033,2,"[1.8292787999962457, 0.8937174000311643]","[1.8292822999646887, 0.8937210000003688]",8,"[0.9297655000118539, 0.6905560999875888, 0.7796385000110604, 0.7827355000190437, 0.5590416999766603, 0.4856832000077702, 0.5011256000143476, 0.6752529999939725]","[0.9297681999742053, 0.6905590000096709, 0.7796425999840721, 0.7827379999798723, 0.5590455000055954, 0.48568590002832934, 0.5011292000417598, 0.6752566000213847]",,312366,001,2023-02-27_16h07.03.659,SEAL_LandTrav,2022.2.5,60.01104203896639,
TravImages/Landmark11_painting.jpeg,0,10,10,10,,,,,,,26.22791660000803,26.22791660000803,26.22791660000803,26.22791660000803,2,"[1.8292787999962457, 0.8937174000311643]","[1.8292822999646887, 0.8937210000003688]",9,"[0.9297655000118539, 0.6905560999875888, 0.7796385000110604, 0.7827355000190437, 0.5590416999766603, 0.4856832000077702, 0.5011256000143476, 0.6752529999939725, 0.745584600022994]","[0.9297681999742053, 0.6905590000096709, 0.7796425999840721, 0.7827379999798723, 0.5590455000055954, 0.48568590002832934, 0.5011292000417598, 0.6752566000213847, 0.7455878000473604]",,312366,001,2023-02-27_16h07.03.659,SEAL_LandTrav,2022.2.5,60.01104203896639,
TravImages/Landmark12_statue.jpeg,0,11,11,11,,,,,,,27.41270300000906,27.41270300000906,27.41270300000906,27.41270300000906,3,"[1.8292787999962457, 0.8937174000311643, 0.6921764999860898]","[1.8292822999646887, 0.8937210000003688, 0.6921809000195935]",9,"[0.9297655000118539, 0.6905560999875888, 0.7796385000110604, 0.7827355000190437, 0.5590416999766603, 0.4856832000077702, 0.5011256000143476, 0.6752529999939725, 0.745584600022994]","[0.9297681999742053, 0.6905590000096709, 0.7796425999840721, 0.7827379999798723, 0.5590455000055954, 0.48568590002832934, 0.5011292000417598, 0.6752566000213847, 0.7455878000473604]",,312366,001,2023-02-27_16h07.03.659,SEAL_LandTrav,2022.2.5,60.01104203896639,
,,,,,,,,,,,,,,,,,,,,,27.97964559996035,,,,,,,
